Dye,Rxn Time (min),Removal %,Full_Name,SMILES,Labute_ASA,LogP,HBD,HBA,Aromatic_Rings,Rotatable_Bonds,Fraction_Csp3
BBG,25,0.647306775,Coomassie Brilliant Blue G-250,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC(=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3C)C5=CC=C(C=C5)NC6=CC=C(C=C6)OCC)C.[Na+],375.988,5.968,1,9,5,15,0.213
CB,0,0.0,Cibacron Blue 3GA,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N,292.544,3.854,7,15,5,9,0.0
CB,5,0.073289971,Cibacron Blue 3GA,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N,292.544,3.854,7,15,5,9,0.0
CB,10,0.165896076,Cibacron Blue 3GA,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N,292.544,3.854,7,15,5,9,0.0
CB,15,0.248498956,Cibacron Blue 3GA,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N,292.544,3.854,7,15,5,9,0.0
CB,20,0.316907209,Cibacron Blue 3GA,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N,292.544,3.854,7,15,5,9,0.0
CB,25,0.386570749,Cibacron Blue 3GA,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N,292.544,3.854,7,15,5,9,0.0
BPB,0,0.0,Bromophenol Blue,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,199.911,6.159,2,5,3,2,0.053
BPB,5,0.258294357,Bromophenol Blue,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,199.911,6.159,2,5,3,2,0.053
BPB,10,0.417172949,Bromophenol Blue,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,199.911,6.159,2,5,3,2,0.053
BPB,15,0.56090221,Bromophenol Blue,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,199.911,6.159,2,5,3,2,0.053
BPB,20,0.679590228,Bromophenol Blue,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,199.911,6.159,2,5,3,2,0.053
BPB,25,0.778657745,Bromophenol Blue,C1=CC=C2C(=C1)C(OS2(=O)=O)(C3=CC(=C(C(=C3)Br)O)Br)C4=CC(=C(C(=C4)Br)O)Br,199.911,6.159,2,5,3,2,0.053
Erio,0,0.0,Erioglaucine,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+],310.295,5.779,2,10,4,12,0.162
Erio,5,0.473895507,Erioglaucine,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+],310.295,5.779,2,10,4,12,0.162
Erio,10,0.683165479,Erioglaucine,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+],310.295,5.779,2,10,4,12,0.162
Erio,15,0.786962792,Erioglaucine,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+],310.295,5.779,2,10,4,12,0.162
Erio,20,0.85255443,Erioglaucine,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+],310.295,5.779,2,10,4,12,0.162
Erio,25,0.896010335,Erioglaucine,CCN(CC1=CC(=CC=C1)S(=O)(=O)[O-])C2=CC=C(C=C2)C(=C3C=CC(=[N+](CC)CC4=CC(=CC=C4)S(=O)(=O)[O-])C=C3)C5=CC=CC=C5S(=O)(=O)[O-].[NH4+].[NH4+],310.295,5.779,2,10,4,12,0.162
Reso,0,0.0,Resorufin,C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2,90.129,1.998,1,4,1,0,0.0
Reso,5,0.430970773,Resorufin,C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2,90.129,1.998,1,4,1,0,0.0
Reso,10,0.578440776,Resorufin,C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2,90.129,1.998,1,4,1,0,0.0
Reso,15,0.734416517,Resorufin,C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2,90.129,1.998,1,4,1,0,0.0
Reso,20,0.831068382,Resorufin,C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2,90.129,1.998,1,4,1,0,0.0
Reso,25,0.979403556,Resorufin,C1=CC2=C(C=C1O)OC3=CC(=O)C=CC3=N2,90.129,1.998,1,4,1,0,0.0
DMMB,0,0.0,Dimethylmethylene Blue,CC1=CC(=CC2=C1N=C3C(=CC(=[N+](C)C)C=C3S2)C)N(C)C.[Cl-],147.228,0.12,0,3,1,1,0.333
DMMB,5,0.457122427,Dimethylmethylene Blue,CC1=CC(=CC2=C1N=C3C(=CC(=[N+](C)C)C=C3S2)C)N(C)C.[Cl-],147.228,0.12,0,3,1,1,0.333
DMMB,10,0.546898377,Dimethylmethylene Blue,CC1=CC(=CC2=C1N=C3C(=CC(=[N+](C)C)C=C3S2)C)N(C)C.[Cl-],147.228,0.12,0,3,1,1,0.333
DMMB,15,0.602566636,Dimethylmethylene Blue,CC1=CC(=CC2=C1N=C3C(=CC(=[N+](C)C)C=C3S2)C)N(C)C.[Cl-],147.228,0.12,0,3,1,1,0.333
DMMB,20,0.660136439,Dimethylmethylene Blue,CC1=CC(=CC2=C1N=C3C(=CC(=[N+](C)C)C=C3S2)C)N(C)C.[Cl-],147.228,0.12,0,3,1,1,0.333
DMMB,25,0.709922839,Dimethylmethylene Blue,CC1=CC(=CC2=C1N=C3C(=CC(=[N+](C)C)C=C3S2)C)N(C)C.[Cl-],147.228,0.12,0,3,1,1,0.333
DR80,0,0.0,Direct Red 80,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C(C=C4C=C(C=CC4=C3O)NC(=O)NC5=CC6=CC(=C(C(=C6C=C5)O)N=NC7=C(C=C(C=C7)N=NC8=CC=C(C=C8)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],631.334,-9.842,4,29,8,16,0.0
DR80,5,0.123485477,Direct Red 80,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N=NC3=C(C=C4C=C(C=CC4=C3O)NC(=O)NC5=CC6=CC(=C(C(=C6C=C5)O)N=NC7=C(C=C(C=C7)N=NC8=CC=C(C=C8)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],631.334,-9.842,4,29,8,16,0.0
